Trt;Cq;delta_cq;DNA_copy;DNA_log10;rep_bio;ID;conservation_t;qPCR_mix;Date_stdcurve;Site
SI;30,16;;11879.33812;4.074792244;2;SI5;30;GMM;25/11/2020;
FI;29,56;;17417.95764;4.24099723;1;FI4;30;GMM;25/11/2020;
FI;29,31;;20429.10344;4.310249307;2;FI8;90;GMM;25/11/2020;
FI;28,11;;43919.69139;4.64265928;2;FI5;30;GMM;25/11/2020;
ET;30,08;;12501.23469;4.096952909;1;ET7;90;GMM;25/11/2020;
FE;29,13;;22914.52206;4.360110803;2;TEM2;0;GMM;25/11/2020;
SP;32,96;;1991.44802;3.299168975;1;SM7;90;GMM;25/11/2020;
ET;29,37;;19662.05057;4.293628809;2;ET5;30;GMM;25/11/2020;
SI;29,27;;20957.02541;4.32132964;2;SI5;30;GMM;25/11/2020;
SI;29,97;;13409.847;4.127423823;3;SI6;30;GMM;25/11/2020;
FO;30,97;;7086.234376;3.850415512;3;BO6;30;GMM;25/11/2020;
FO;30,86;;7601.274682;3.880886427;3;BO6;30;GMM;25/11/2020;
FE;30,2;;11580.08938;4.063711911;3;TEM3;0;GMM;25/11/2020;
SP;32,99;;1953.70382;3.290858726;3;SM9;90;GMM;25/11/2020;
FE;29,79;;15041.2981;4.177285319;3;TEM3;0;GMM;25/11/2020;
FO;30,22;;11433.30384;4.058171745;2;BO5;30;GMM;25/11/2020;
FI;27,99;;47413.3102;4.675900277;2;FI5;30;GMM;25/11/2020;
SI;30,1;;12342.77302;4.091412742;3;SI6;30;GMM;25/11/2020;
ET;29,52;;17868.06659;4.252077562;3;ET6;30;GMM;25/11/2020;
FI;29,74;;15528.72268;4.191135734;1;FI4;30;GMM;25/11/2020;
SI;30,07;;12581.22681;4.099722992;2;SI5;30;GMM;25/11/2020;
FI;27,21;;77977.04244;4.891966759;3;FI6;30;GMM;25/11/2020;
SP;32,49;;2687.589161;3.429362881;2;SM8;90;GMM;25/11/2020;
FO;30,3;;10864.53342;4.03601108;3;BO9;90;GMM;25/11/2020;
FI;29,78;;15137.54341;4.180055402;2;FI8;90;GMM;25/11/2020;
SI;30,14;;12031.85003;4.08033241;1;SI7;90;GMM;25/11/2020;
FO;29,34;;20041.90772;4.301939058;1;BO7;90;GMM;25/11/2020;
SP;32,27;;3092.464402;3.490304709;1;SM7;90;GMM;25/11/2020;
FI;29,67;;16237.76739;4.210526316;1;FI4;30;GMM;25/11/2020;
ET;29,55;;17529.41057;4.243767313;2;ET8;90;GMM;25/11/2020;
ET;29,69;;16031.94261;4.20498615;1;ET7;90;GMM;25/11/2020;
FO;31,1;;6522.354987;3.814404432;2;BO5;30;GMM;25/11/2020;
SP;32,11;;3424.727639;3.534626039;3;SM9;90;GMM;25/11/2020;
FO;30,55;;9263.156528;3.966759003;2;BO8;90;GMM;25/11/2020;
SI;30,05;;12742.74986;4.105263158;1;SI7;90;GMM;25/11/2020;
SI;30,39;;10258.41661;4.011080332;3;SI6;30;GMM;25/11/2020;
SP;30,73;;8258.430284;3.916897507;3;SM6;30;GMM;25/11/2020;
ET;28,99;;25054.85922;4.398891967;3;ET6;30;GMM;25/11/2020;
SI;29,81;;14850.63939;4.171745152;1;SI7;90;GMM;25/11/2020;
FO;30,5;;9563.336081;3.980609418;2;BO8;90;GMM;25/11/2020;
ET;29,14;;22768.8303;4.35734072;3;ET9;90;GMM;25/11/2020;
ET;29,34;;20041.90772;4.301939058;3;ET6;30;GMM;25/11/2020;
ET;28,88;;26875.89161;4.429362881;1;ET7;90;GMM;25/11/2020;
FI;29,74;;15528.72268;4.191135734;1;FI7;90;GMM;25/11/2020;
SP;31,5;;5053.602841;3.703601108;1;SM7;90;GMM;25/11/2020;
FI;28,71;;29953.96332;4.476454294;1;FI7;90;GMM;25/11/2020;
PW_c;;;6606.7442272;3.81998749390294;1;PW1_c;;GMM;;
PW_c;;;3296.4647472;3.51804843570588;1;PW1_c;;GMM;;
PW_c;;;2620.145712;3.41832544405177;2;PW2_c;;GMM;;
PW_c;;;1929.129824;3.28536145519682;1;PW1_c;;GMM;;
PW_c;;;3446.9820152;3.53743901746081;2;PW2_c;;GMM;;
PW_c;;;1764.3319216;3.24658029177024;3;PW3_c;;GMM;;
PWZ_c;;;3381.650872;3.52912876819649;1;PWZ_1_c;;GMM;;
PW_c;;;4364.4758248;3.63993209224169;2;PW2_c;;GMM;;
PWZ_c;;;2537.9030552;3.40447502855624;1;PWZ_1_c;;GMM;;
PWZ_c;;;3768.9483064;3.57622018085656;2;PWZ_2_c;;GMM;;
PW_c;;;1966.3992704;3.29367170440461;3;PW3_c;;GMM;;
PWZ_c;;;2957.7197616;3.47095702302252;2;PWZ_2_c;;GMM;;
PWZ_c;;;4173.8949128;3.62054151052589;2;PWZ_2_c;;GMM;;
PW_c;;;2365.942112;3.37400411444807;3;PW3_c;;GMM;;
PWZ_c;;;2901.6616752;3.46264677365673;1;PWZ_1_c;;GMM;;
PWZ_c;;;362.74353608;2.55959968225437;3;PWZ_3_c;;GMM;;
PWZ_c;;;420.06025688;2.62331159362035;3;PWZ_3_c;;GMM;;
PWZ_c;;;439.24029584;2.64270217538146;3;PWZ_3_c;;GMM;;
FNC3;No Cq;;0;0;NA;neg3_F;;GMM;29/07/2020;
FNC3;No Cq;;0;0;NA;neg3_F;;GMM;29/07/2020;
FNC3;No Cq;;0;0;NA;neg3_F;;GMM;29/07/2020;
